name,birth_country
Divinyls,AU
The Maccabees,GB
Liily,US
Real Friends,US
Bayside,US
The Ting Tings,GB
Pinegrove,US
Joe Hertz,
YACHT,
Leeland,US
Like a Storm,CA
Broken Social Scene,CA
Metric,CA
Injury Reserve,US
Echo & the Bunnymen,GB
Mndsgn,US
Billy Lemos,
Childish Major,
M. Ward,US
Peach Tree Rascals,
Spiderbait,AU
Jarabe de Palo,ES
The Flaming Lips,US
Statik Selektah,US
Theophilus London,US
Sin Shake Sin,
Sponge,US
La Unión,ES
Cults,US
Zoé,MX
Orgy,US
Nilüfer Yanya,
The Silent Comedy,US
Placebo,GB
BADBADNOTGOOD,CA
Angel Olsen,US
Britt Nicole,US
Amerie,US
VHS Collection,
Pillar,US
Cold,US
El Tri,MX
Muddy Waters,US
K. Roosevelt,
The Gourds,US
Flying Lotus,US
Jay Prince,
Bombay Bicycle Club,GB
Blackalicious,US
Mindless Self Indulgence,US
Amon Amarth,SE
Air,FR
Cultura Profética,PR
Fireflight,US
Ben Lee,
Erthlings,
Slum Village,US
The Shelters,
Gerry Rafferty,GB
L7,US
Gungor,US
The Cult,GB
marcos g,
Foxing,US
Panteón Rococó,MX
Fever Ray,SE
"Phillips, Craig & Dean",
Klaxons,GB
LION BABE,
The Downtown Fiction,
Inspector,MX
Goodbye June,
Killer Mike,US
Two Another,
Black Flag,US
Tora Tora,US
Microwave,
Night Riots,US
Morrissey,GB
Monster Magnet,US
KennyHoopla,
Helmet,US
Main Source,CA
Sonic Youth,US
Awolnation,US
Puscifer,US
Franc Moody,
Jeremy Riddle,US
Elastica,GB
Tigers Jaw,US
The Church,AU
Airways,
Ta-ku,
Four Year Strong,US
Basement,GB
Eryn Allen Kane,US
Kemba,
Sarah Jarosz,US
Jarryd James,AU
Andrés Calamaro,AR
The O’My’s,
7eventh Time Down,US
Chromeo,CA
Héroes del Silencio,ES
Born Without Bones,
Anders,ZA
Cady Groves,US
People Under the Stairs,US
The Blue Stones,CA
The Vines,AU
The Kills,GB
Jet Black Stare,CA
Corey Taylor,US
Deerhunter,US
Bleeker,CA
It Looks Sad.,
Death Grips,US
Elefante,MX
The Dandy Warhols,US
Billy Talent,CA
Ben Folds Five,US
Syd,US
Gold Spectacles,
American Football,US
The Dangerous Summer,US
Midnight Oil,AU
Neon Indian,US
Cool Cool Cool,US
Black Pistol Fire,
The Handsome Family,US
Jordan Rakei,
In Flames,SE
Biig Piig,GB
serpentwithfeet,
